SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,1.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,6.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,7.0,SOOS COOS,STMO STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Rhea americana,Greater Rhea,grerhe1,species,8.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,14.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,15.0,LERH LR,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,18.0,LERH LR,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,19.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,20.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,21.0,HT HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,26.0,HT HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,27.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,30.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,35.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,36.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,39.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,52.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,53.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,54.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,55.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,56.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,71.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,72.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,73.0,BRTI BT,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,74.0,BT BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,83.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,90.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,91.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,92.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,93.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,101.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,102.0,YLT YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,103.0,YLT YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,104.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,107.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,110.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,111.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,112.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,113.0,TT ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,114.0,ETTI TT THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,123.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,124.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,125.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,126.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,127.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,132.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,133.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,137.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,138.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,139.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,143.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,146.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,149.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,157.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,160.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,161.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,162.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,163.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,169.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,179.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,180.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,191.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,194.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,195.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamidae sp.,tinamou sp.,tinamo1,spuh,196.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Casuarius casuarius,Southern Cassowary,soucas1,species,197.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,198.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,199.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,200.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,205.0,TOKO SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,206.0,TOKO SBK SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,207.0,TOKO SBK SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,208.0,OBK OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,209.0,NIBK NBKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,210.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,211.0,GSKI,APHA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,212.0,,,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Anhima cornuta,Horned Screamer,horscr1,species,213.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,214.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,215.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,216.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,217.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,218.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,219.0,,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,220.0,SPWD WFWD SWDU,DEGU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,221.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1,issf,222.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2,issf,223.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,224.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,225.0,BBWD WIWD,DEAR DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,226.0,FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,hybrid,227.0,WFWD FUWD FWDU,DEBI DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,228.0,FUWD BBWD FWDU,DEAU DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,229.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,233.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080,slash,234.0,FWDU FUWD LEWD LWDU,DEBI DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360,hybrid,235.0,WWDU LEWD WAWD LWDU,DEAR DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna sp.,whistling-duck sp.,whistl1,spuh,236.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Thalassornis leuconotus,White-backed Duck,whbduc1,species,237.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus,Bar-headed Goose,bahgoo,species,240.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus,Emperor Goose,empgoo,species,241.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens,Snow Goose,snogoo,species,242.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii,Ross's Goose,rosgoo,species,245.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,246.0,SNGO ROGO,ANRO ANCA,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,slash,247.0,SNGO ROGO,ANRO ANCA,SRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser,Graylag Goose,gragoo,species,248.0,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser anser,Graylag Goose (European),gragoo2,issf,249.0,GG GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,issf,250.0,GG GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,domestic,251.0,GG,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides,Swan Goose,swagoo1,species,252.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,domestic,253.0,SG,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776,hybrid,254.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,255.0,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,issf,256.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,issf,257.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2,issf,258.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,issf,261.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,262.0,GWFG BHGO,ANIN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361,hybrid,263.0,EMGO GWFG,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,264.0,GWFG SNGO,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362,hybrid,265.0,GWFG ROGO,ANRO ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,266.0,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,slash,267.0,GWFG LWFG,ANER ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis,Taiga Bean-Goose,taibeg1,species,268.0,BG TBGO,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,272.0,BG TBGO,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,slash,275.0,TUBG TBGO BG TABG,ANSE ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,276.0,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,domestic,277.0,DGS,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp.,Anser sp.,anser1,spuh,278.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla,Brant,brant,species,279.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,issf,280.0,BG BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla hrota,Brant (Atlantic),atlbra1,issf,281.0,BG BRAN BRGO,BRBE,ATBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla nigricans,Brant (Black),blkbra1,issf,282.0,BG BRAN BRGO,BRBE,BLBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,form,283.0,BR BRAN BG BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1,intergrade,284.0,BRAN BRGO,BRBE,BRIN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,hybrid,285.0,SNGO BRAN BRGO,BRBE ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta leucopsis,Barnacle Goose,bargoo,species,286.0,BAGO,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x Branta leucopsis,Bar-headed x Barnacle Goose (hybrid),x00363,hybrid,287.0,BAGO BHGO BARG,ANIN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,hybrid,288.0,BAGO GRGO BARG,ANAN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,hybrid,289.0,GWFG BAGO BARG,BRLE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus x Branta leucopsis,Lesser White-fronted x Barnacle Goose (hybrid),x00364,hybrid,290.0,BAGO BARG LWFG,ANER BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,hybrid,291.0,BAGO BARG PFGO,BRLE ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta hutchinsii,Cackling Goose,cacgoo1,species,292.0,CAGO,BRHU,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1,issf,293.0,CG CACG CAGO,BRHU,ACGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,,anatid1
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1,issf,294.0,CG CACG CAGO,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,,anatid1
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2,issf,295.0,CG CACG CAGO,BRHU,MCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,,anatid1
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1,issf,296.0,CG CACG CAGO,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1,,,anatid1
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,hybrid,297.0,EMGO CAGO CACG,ANCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,hybrid,298.0,CACG CAGO SNGO,ANCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,hybrid,299.0,CAGO CACG ROGO,ANRO BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,hybrid,300.0,CAGO BRAN CACG BRGO,BRBE BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,hybrid,301.0,GWFG CACG CAGO,BRHU ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,hybrid,302.0,BAGO CAGO BARG CACG,BRHU BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta canadensis,Canada Goose,cangoo,species,303.0,CAGO,BRCA,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4,issf,304.0,CANG CG CAGO,BRCA,LCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,,anatid1
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3,issf,307.0,CG CANG CAGO,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,,anatid1
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1,issf,310.0,CANG CG CAGO,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo,,,anatid1
Anser indicus x Branta canadensis,Bar-headed x Canada Goose (hybrid),x00908,hybrid,314.0,CANG BHGO CAGO,ANIN BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),swagoo3,hybrid,315.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,hybrid,316.0,CANG CAGO PFGO,BRCA ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
